	Index	Gene_name	Gene_list_number	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	Organism	HGNC_symbol	Alias	Info
727	728	Ednrb	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022122	ENSMUST00000022718|ENSMUST00000172237|ENSMUST00000227824	NM_007904|NM_001276296|NM_001136061	mouse	EDNRB		up
728	729	Entpd1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000048120	ENSMUST00000163023|ENSMUST00000134063|ENSMUST00000160286|ENSMUST00000156598|ENSMUST00000144080|ENSMUST00000112231|ENSMUST00000155988|ENSMUST00000127268|ENSMUST00000151726|ENSMUST00000127828|ENSMUST00000137508	NM_001304721|NM_009848	mouse	ENTPD1		up
729	730	Arl4d	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034936	ENSMUST00000039388	NM_025404	mouse	ARL4D		up
730	731	Epha10	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028876	ENSMUST00000151791|ENSMUST00000059343|ENSMUST00000149146	NM_177671|NM_001256432	mouse	EPHA10		up
731	732	Sesn1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000038332	ENSMUST00000214835|ENSMUST00000099931|ENSMUST00000041438	NM_001162908|NM_001013370	mouse	SESN1		up
732	733	Prox1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000010175	ENSMUST00000177288|ENSMUST00000010319|ENSMUST00000175916	NM_008937|NM_001360827	mouse	PROX1		up
733	734	Adgrf5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000056492	ENSMUST00000225004|ENSMUST00000224278|ENSMUST00000226087|ENSMUST00000225466|ENSMUST00000113599|ENSMUST00000225962	NM_001357332|NM_001081178|NM_001404548	mouse	ADGRF5		up
734	735	Lnpep	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000023845	ENSMUST00000231515|ENSMUST00000232515|ENSMUST00000232462|ENSMUST00000041047|ENSMUST00000231666|ENSMUST00000231291	NM_172827	mouse	LNPEP		up
735	736	Mkx	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000061013	ENSMUST00000176757|ENSMUST00000176608|ENSMUST00000188926|ENSMUST00000079788	NM_177595	mouse	MKX		up
736	737	Mertk	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000014361	ENSMUST00000140221|ENSMUST00000014505	NM_008587	mouse	MERTK		up
737	738	Tnr	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000015829	ENSMUST00000192069|ENSMUST00000195199|ENSMUST00000193325|ENSMUST00000111669|ENSMUST00000192457	NM_022312	mouse	TNR		up
738	739	Lgr5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020140	ENSMUST00000173740|ENSMUST00000172806|ENSMUST00000020350|ENSMUST00000129309|ENSMUST00000144732|ENSMUST00000173619|ENSMUST00000149008|ENSMUST00000105272	NM_010195	mouse	LGR5		up
739	740	9330159F19Rik	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000004360	ENSMUST00000092627|ENSMUST00000213489|ENSMUST00000213490	NM_001162537	mouse	KIAA0408		up
740	741	Eml5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000051166	ENSMUST00000222097|ENSMUST00000220848|ENSMUST00000221107|ENSMUST00000222593|ENSMUST00000223282|ENSMUST00000221511|ENSMUST00000220676|ENSMUST00000065716|ENSMUST00000222128|ENSMUST00000222717	NM_001081191	mouse	EML5		up
741	742	4930511M06Rik	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000086607	ENSMUST00000130724|ENSMUST00000153884|ENSMUST00000151209|ENSMUST00000130696|ENSMUST00000137603		mouse			up
742	743	Ccdc85a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032878	ENSMUST00000160016|ENSMUST00000140601|ENSMUST00000109501|ENSMUST00000146385|ENSMUST00000042534|ENSMUST00000109502|ENSMUST00000093253	NM_001346759|NM_181577|NM_001166661	mouse	CCDC85A		up
743	744	B4galt6	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000056124	ENSMUST00000070080	NM_019737	mouse	B4GALT6		up
744	745	Rin3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000044456	ENSMUST00000131076|ENSMUST00000056950|ENSMUST00000133820|ENSMUST00000139686|ENSMUST00000101114|ENSMUST00000137249|ENSMUST00000150795	NM_001161365|NM_177620	mouse	RIN3		up
745	746	Ston1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000033855	ENSMUST00000153613|ENSMUST00000150023|ENSMUST00000137138|ENSMUST00000132384|ENSMUST00000163588|ENSMUST00000064035|ENSMUST00000112216	NM_029858	mouse	STON1		up
746	747	Egfr	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020122	ENSMUST00000138518|ENSMUST00000102884|ENSMUST00000020329|ENSMUST00000125984|ENSMUST00000139722	NM_207655|NM_007912	mouse	EGFR		up
747	748	Lrp1b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000049252	ENSMUST00000134032|ENSMUST00000204204|ENSMUST00000167270|ENSMUST00000203080|ENSMUST00000142546|ENSMUST00000133104|ENSMUST00000185258|ENSMUST00000142688|ENSMUST00000129974|ENSMUST00000138700|ENSMUST00000052550|ENSMUST00000203015	NM_053011	mouse	LRP1B		up
748	749	Ttll7	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000036745	ENSMUST00000106134|ENSMUST00000037942|ENSMUST00000170055|ENSMUST00000038090|ENSMUST00000197547|ENSMUST00000124743	NM_001357217|NM_001302958|NM_001302957	mouse	TTLL7		up
749	750	Kcnk2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037624	ENSMUST00000195016|ENSMUST00000192723|ENSMUST00000110920|ENSMUST00000194172|ENSMUST00000192529|ENSMUST00000193686|ENSMUST00000194402|ENSMUST00000180044|ENSMUST00000193319|ENSMUST00000079451	NM_001159850|NM_001357119|NM_001402776|NM_010607|NM_001281848|NM_001402826|NM_001281847	mouse	KCNK2		up
750	751	Pak3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031284	ENSMUST00000112868|ENSMUST00000156449|ENSMUST00000112864|ENSMUST00000126592|ENSMUST00000172330|ENSMUST00000033640|ENSMUST00000112865|ENSMUST00000134402|ENSMUST00000112863|ENSMUST00000155215	NM_001195049|NM_001195046|NM_008778|NM_001195048|NM_001195047	mouse	PAK3		up
751	752	Il1r1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026072	ENSMUST00000027241|ENSMUST00000114795|ENSMUST00000195402	NM_008362|NM_001123382	mouse	IL1R1		up
752	753	Thsd7a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032625	ENSMUST00000137836|ENSMUST00000122369|ENSMUST00000119443|ENSMUST00000172356|ENSMUST00000119581|ENSMUST00000135450	NM_001164805	mouse	THSD7A		up
753	754	Selenop	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000064373	ENSMUST00000160787|ENSMUST00000159216|ENSMUST00000082424|ENSMUST00000159158|ENSMUST00000160930|ENSMUST00000160311|ENSMUST00000159247	NM_001042613|NM_009155|NM_001042614	mouse	SELENOP		up
754	755	Tent5b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000046694	ENSMUST00000051676	NM_175307	mouse	TENT5B		up
755	756	Mrtfb	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000009569	ENSMUST00000009713|ENSMUST00000115809|ENSMUST00000149359|ENSMUST00000056715	NM_153588|NM_181860|NM_001122667	mouse	MRTFB		up
756	757	Tiparp	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034640	ENSMUST00000047906|ENSMUST00000154094|ENSMUST00000130705	NM_178892	mouse	TIPARP		up
757	758	S1pr1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000045092	ENSMUST00000055676	NM_007901	mouse	S1PR1		up
758	759	Pcdh10	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000049100	ENSMUST00000170695|ENSMUST00000171554|ENSMUST00000193252|ENSMUST00000166126|ENSMUST00000195655	NM_011043|NM_001098171|NM_001098170|NM_001098172	mouse	PCDH10		up
759	760	Clic5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000023959	ENSMUST00000239215|ENSMUST00000024755|ENSMUST00000233193	NM_172621	mouse	CLIC5		up
760	761	Sema7a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000038264	ENSMUST00000043059|ENSMUST00000214314	NM_011352	mouse	SEMA7A		up
761	762	Ryr2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021313	ENSMUST00000220597|ENSMUST00000220712|ENSMUST00000170156|ENSMUST00000222113|ENSMUST00000222788|ENSMUST00000221527|ENSMUST00000221890|ENSMUST00000221609|ENSMUST00000221341|ENSMUST00000221916|ENSMUST00000021750|ENSMUST00000221941|ENSMUST00000221018|ENSMUST00000222386	NM_023868	mouse	RYR2		up
762	763	Dmxl2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000041268	ENSMUST00000128865|ENSMUST00000154092|ENSMUST00000123709|ENSMUST00000127880|ENSMUST00000149709|ENSMUST00000144736|ENSMUST00000118600|ENSMUST00000118163	NM_172771	mouse	DMXL2		up
763	764	Zfp871	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024298	ENSMUST00000168337|ENSMUST00000057501|ENSMUST00000159086	NM_172458|NM_001346705	mouse	ZNF878		up
764	765	Spire1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024533	ENSMUST00000224122|ENSMUST00000226000|ENSMUST00000115050|ENSMUST00000082243|ENSMUST00000224659|ENSMUST00000224799|ENSMUST00000045105|ENSMUST00000224189	NM_001403659|NM_176832|NM_194355	mouse	SPIRE1		up
765	766	Arhgap5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000035133	ENSMUST00000110725|ENSMUST00000217820|ENSMUST00000219443|ENSMUST00000218755	NM_001408723|NM_001408724|NM_001408721|NM_001408722|NM_009706	mouse	ARHGAP5		up
766	767	Pwwp3b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000042515	ENSMUST00000113041|ENSMUST00000139359|ENSMUST00000169886|ENSMUST00000113045|ENSMUST00000113042|ENSMUST00000113043|ENSMUST00000170671|ENSMUST00000166444	NM_001164630|NM_001164633|NM_175541|NM_001164631|NM_001164632	mouse	PWWP3B		up
767	768	Slc7a8	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022180	ENSMUST00000226646|ENSMUST00000022787	NM_016972	mouse	SLC7A8		up
768	769	Tnfrsf21	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000023915	ENSMUST00000233482|ENSMUST00000024708	NM_178589	mouse	TNFRSF21		up
769	770	Kmt2a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000002028	ENSMUST00000215489|ENSMUST00000152241|ENSMUST00000002095|ENSMUST00000114689|ENSMUST00000128768|ENSMUST00000138119	NM_001357549	mouse	KMT2A		up
770	771	Pcsk1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021587	ENSMUST00000222727|ENSMUST00000022075|ENSMUST00000135349	NM_013628	mouse	PCSK1		up
771	772	Clic4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037242	ENSMUST00000037099|ENSMUST00000143370	NM_013885	mouse	CLIC4		up
772	773	Slc9a7	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037341	ENSMUST00000115393|ENSMUST00000072451|ENSMUST00000130938|ENSMUST00000224372|ENSMUST00000151845	NM_177353	mouse	SLC9A7		up
773	774	Depp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000048489	ENSMUST00000204555|ENSMUST00000178241|ENSMUST00000067354	NM_001166580|NM_145980	mouse	DEPP1		up
774	775	Tlr7	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000044583	ENSMUST00000145284|ENSMUST00000060719|ENSMUST00000149507|ENSMUST00000137492|ENSMUST00000112161|ENSMUST00000112164	NM_001290758|NM_133211|NM_001290755|NM_001290756|NM_001290757	mouse	TLR7		up
775	776	Tmem132b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000070498	ENSMUST00000184422|ENSMUST00000031446|ENSMUST00000185104	NM_001190352	mouse	TMEM132B		up
776	777	Trpc5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000041710	ENSMUST00000148240|ENSMUST00000040184	NM_009428	mouse	TRPC5		up
777	778	NA	25	all_sig_genes_35904237	PMID: 35904237				mouse	Query ERROR: caught BioMart::Exception::Database: Error during query execution: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AND main.gene_id_1020_key=ensembl_mart_109.mmusculus_gene_ensembl__homolog_hsapi' at line 1		up
778	779	Arrdc2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000002910	ENSMUST00000213095|ENSMUST00000212508|ENSMUST00000212855|ENSMUST00000212770|ENSMUST00000002989|ENSMUST00000212898|ENSMUST00000212405	NM_027560	mouse	ARRDC2		up
779	780	Flt1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029648	ENSMUST00000031652|ENSMUST00000031653|ENSMUST00000200895|ENSMUST00000142477|ENSMUST00000125272|ENSMUST00000110529	NM_010228|NM_001363135	mouse	FLT1		up
780	781	Tcf23	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000006642	ENSMUST00000006818	NM_053085	mouse	TCF23		up
781	782	Adcy9	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000005580	ENSMUST00000117801|ENSMUST00000120080|ENSMUST00000005719	NM_009624|NM_001291910	mouse	ADCY9		up
782	783	Osbpl6	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000042359	ENSMUST00000133275|ENSMUST00000111930|ENSMUST00000124601|ENSMUST00000184442|ENSMUST00000111929|ENSMUST00000077972|ENSMUST00000134213|ENSMUST00000128034	NM_001290734|NM_001290733|NM_145525|NM_001290735	mouse	OSBPL6		up
783	784	Syt14	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000016200	ENSMUST00000016344|ENSMUST00000215093|ENSMUST00000195530|ENSMUST00000191907|ENSMUST00000195354	NM_001301370|NM_181546	mouse	SYT14		up
784	785	Sash1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000015305	ENSMUST00000015449|ENSMUST00000213032|ENSMUST00000212553|ENSMUST00000212869	NM_175155	mouse	SASH1		up
785	786	Ptger3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000040016	ENSMUST00000196682|ENSMUST00000041175|ENSMUST00000173533	NM_011196|NM_001359745	mouse	PTGER3		up
786	787	9930111J21Rik2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000069892	ENSMUST00000132768|ENSMUST00000101295|ENSMUST00000093152	NM_173434	mouse			up
787	788	Snhg11	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000044349	ENSMUST00000239345|ENSMUST00000239262|ENSMUST00000109488|ENSMUST00000137320|ENSMUST00000138307|ENSMUST00000239310|ENSMUST00000148965|ENSMUST00000149303		mouse			up
788	789	Lyst	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000019726	ENSMUST00000231064|ENSMUST00000110559|ENSMUST00000223527|ENSMUST00000220937|ENSMUST00000223053|ENSMUST00000221717|ENSMUST00000221587|ENSMUST00000221483	NM_010748	mouse	LYST		up
789	790	Agap2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000025422	ENSMUST00000217941|ENSMUST00000239120|ENSMUST00000039259	NM_001301014|NM_001033263	mouse	AGAP2		up
790	791	Ampd3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000005686	ENSMUST00000147587|ENSMUST00000170374|ENSMUST00000213373|ENSMUST00000176487|ENSMUST00000148292|ENSMUST00000005829|ENSMUST00000106686|ENSMUST00000143786	NM_009667|NM_001276301|NM_001372439|NM_001372441	mouse	AMPD3		up
791	792	Map1b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000052727	ENSMUST00000223820|ENSMUST00000064762|ENSMUST00000224702|ENSMUST00000223725|ENSMUST00000224605|ENSMUST00000223693	NM_008634	mouse	MAP1B		up
792	793	Fam214a	25	all_sig_genes_35904237	PMID: 35904237	Atosa	ENSMUST00000215370|ENSMUST00000170846|ENSMUST00000216809|ENSMUST00000081746|ENSMUST00000214755|ENSMUST00000216125|ENSMUST00000215355	NM_153584|NM_001113283|NM_001359816	mouse			up
793	794	Spsb1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039911	ENSMUST00000156451|ENSMUST00000125135|ENSMUST00000038562|ENSMUST00000149360|ENSMUST00000105685|ENSMUST00000167342|ENSMUST00000149743|ENSMUST00000105684|ENSMUST00000135896|ENSMUST00000156897	NM_029035	mouse	SPSB1		up
794	795	Pik3ip1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034614	ENSMUST00000139139|ENSMUST00000149253|ENSMUST00000136474|ENSMUST00000130747|ENSMUST00000142961|ENSMUST00000136536|ENSMUST00000138907|ENSMUST00000153733|ENSMUST00000045153|ENSMUST00000093399	NM_178149	mouse	PIK3IP1		up
795	796	Klhl14	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000042514	ENSMUST00000049105|ENSMUST00000122333	NM_001081403	mouse	KLHL14		up
796	797	Sytl5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000054453	ENSMUST00000086165|ENSMUST00000067529	NM_177704|NM_001290728	mouse	SYTL5		up
797	798	Fgd4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022788	ENSMUST00000069284|ENSMUST00000159542|ENSMUST00000162542|ENSMUST00000162124|ENSMUST00000162671|ENSMUST00000162414|ENSMUST00000161624|ENSMUST00000172181|ENSMUST00000161188|ENSMUST00000161861|ENSMUST00000159058|ENSMUST00000162045	NM_001301817|NM_001301818|NM_139232	mouse	FGD4		up
798	799	Slc10a6	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029321	ENSMUST00000031263	NM_029415	mouse	SLC10A6		up
799	800	Fam13a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037709	ENSMUST00000204616|ENSMUST00000173193|ENSMUST00000173712|ENSMUST00000174307|ENSMUST00000089860	NM_153574	mouse	FAM13A		up
800	801	Tns2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037003	ENSMUST00000229908|ENSMUST00000229800|ENSMUST00000230474|ENSMUST00000229097|ENSMUST00000169627|ENSMUST00000229035|ENSMUST00000046144|ENSMUST00000228958|ENSMUST00000229592	NM_001355636|NM_153533	mouse	TNS2		up
801	802	Nalcn	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000000197	ENSMUST00000228860|ENSMUST00000228766|ENSMUST00000226617|ENSMUST00000227818|ENSMUST00000000201|ENSMUST00000228789|ENSMUST00000227541	NM_177393	mouse	NALCN		up
802	803	Notch4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000015468	ENSMUST00000174707|ENSMUST00000126950|ENSMUST00000152714|ENSMUST00000173389|ENSMUST00000015612|ENSMUST00000151867|ENSMUST00000141768|ENSMUST00000126702|ENSMUST00000151654|ENSMUST00000128314|ENSMUST00000150441|ENSMUST00000156724	NM_010929	mouse			up
803	804	Gata1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031162	ENSMUST00000128449|ENSMUST00000125418|ENSMUST00000033502	NM_008089|NM_001410604	mouse	GATA1		up
804	805	Mdga2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034912	ENSMUST00000101379|ENSMUST00000223141|ENSMUST00000222623|ENSMUST00000223289|ENSMUST00000179577|ENSMUST00000179729|ENSMUST00000037181|ENSMUST00000178814|ENSMUST00000222987|ENSMUST00000177690|ENSMUST00000178724|ENSMUST00000179025|ENSMUST00000113942	NM_001193266|NM_207010	mouse	MDGA2		up
805	806	Zfp618	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028358	ENSMUST00000064814|ENSMUST00000030043|ENSMUST00000151324|ENSMUST00000107415	NM_028327|NM_001369116|NM_001369113|NM_001369118|NM_001369114|NM_001369119|NM_001369117|NM_028326|NM_001369115	mouse	ZNF618		up
806	807	Bmf	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000040093	ENSMUST00000143583|ENSMUST00000146962|ENSMUST00000154521|ENSMUST00000090219|ENSMUST00000110859|ENSMUST00000152123|ENSMUST00000125860|ENSMUST00000138342	NM_001311140|NM_138313|NM_001331221	mouse	BMF		up
807	808	Ms4a4a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000101389	ENSMUST00000188995	NM_001310331	mouse	MS4A4E		up
808	809	Hipk1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000008730	ENSMUST00000126351|ENSMUST00000137078|ENSMUST00000106845|ENSMUST00000135634|ENSMUST00000118317|ENSMUST00000200071|ENSMUST00000029438	NM_010432|NM_001301306|NM_001301304	mouse	HIPK1		up
809	810	Mbnl3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000036109	ENSMUST00000114876|ENSMUST00000148116|ENSMUST00000150014|ENSMUST00000136404|ENSMUST00000156028|ENSMUST00000041495|ENSMUST00000114875	NM_001310515|NM_134163	mouse	MBNL3		up
810	811	Lox	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024529	ENSMUST00000025409|ENSMUST00000171470	NM_001286182|NM_010728|NM_001286181	mouse	LOX		up
811	812	Sorbs1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000025006	ENSMUST00000225710|ENSMUST00000225766|ENSMUST00000225306|ENSMUST00000239304|ENSMUST00000225628|ENSMUST00000223724|ENSMUST00000224247|ENSMUST00000225858|ENSMUST00000225879|ENSMUST00000165212|ENSMUST00000099467|ENSMUST00000225293|ENSMUST00000224233|ENSMUST00000225593|ENSMUST00000224646|ENSMUST00000224667|ENSMUST00000226047|ENSMUST00000224227|ENSMUST00000225148|ENSMUST00000226028|ENSMUST00000099466|ENSMUST00000225153|ENSMUST00000225412|ENSMUST00000165469|ENSMUST00000238831|ENSMUST00000224583|ENSMUST00000225786	NM_001034963|NM_178362|NM_001034964|NM_009166|NM_001034962	mouse	SORBS1		up
812	813	Slc2a3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000003153	ENSMUST00000170724|ENSMUST00000169979|ENSMUST00000168801|ENSMUST00000168704|ENSMUST00000165884|ENSMUST00000166135|ENSMUST00000171541|ENSMUST00000032476	NM_001410375|NM_001410377|NM_011401	mouse			up
813	814	Vps13c	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000035284	ENSMUST00000213168|ENSMUST00000216856|ENSMUST00000215524|ENSMUST00000077879|ENSMUST00000217386	NM_177184	mouse	VPS13C		up
814	815	Fstl5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034098	ENSMUST00000038364|ENSMUST00000159686|ENSMUST00000162471|ENSMUST00000160261|ENSMUST00000191664	NM_001253719|NM_178673	mouse	FSTL5		up
815	816	Kansl1l	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026004	ENSMUST00000129190|ENSMUST00000068168|ENSMUST00000132960|ENSMUST00000113987|ENSMUST00000189846	NM_001357156|NM_001368830|NM_001122738|NM_177645|NM_001357157	mouse	KANSL1L		up
816	817	Fchsd2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030691	ENSMUST00000208063|ENSMUST00000208439|ENSMUST00000137196|ENSMUST00000208917|ENSMUST00000142727|ENSMUST00000130426|ENSMUST00000098250|ENSMUST00000151693|ENSMUST00000032931|ENSMUST00000145802|ENSMUST00000208638	NM_199012|NM_001146010	mouse	FCHSD2		up
817	818	Synj2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000023805	ENSMUST00000126881|ENSMUST00000115787|ENSMUST00000115785|ENSMUST00000115790|ENSMUST00000134767|ENSMUST00000142409|ENSMUST00000115784|ENSMUST00000154114|ENSMUST00000115791|ENSMUST00000115788|ENSMUST00000080283|ENSMUST00000115786|ENSMUST00000130661|ENSMUST00000232567|ENSMUST00000115789|ENSMUST00000061091	NM_001113352|NM_001357667|NM_001357665|NM_011523|NM_001113351|NM_001113353|NM_001290698	mouse	SYNJ2		up
818	819	Kbtbd11	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000055675	ENSMUST00000183471|ENSMUST00000184243|ENSMUST00000069399|ENSMUST00000184598	NM_029116	mouse	KBTBD11		up
819	820	Eml6	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000044072	ENSMUST00000142651|ENSMUST00000169980|ENSMUST00000123881|ENSMUST00000109452|ENSMUST00000137689|ENSMUST00000137017|ENSMUST00000058902	NM_146016	mouse	EML6		up
820	821	C130083M11Rik	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000106464	ENSMUST00000197171		mouse			up
821	822	Jaml	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000048534	ENSMUST00000215880|ENSMUST00000215098|ENSMUST00000217074|ENSMUST00000050020|ENSMUST00000216426|ENSMUST00000216333|ENSMUST00000215266	NM_001005421	mouse			up
822	823	Sptbn1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020315	ENSMUST00000133466|ENSMUST00000127209|ENSMUST00000006629|ENSMUST00000149117|ENSMUST00000124231|ENSMUST00000145315|ENSMUST00000102838|ENSMUST00000011877	NM_009260|NM_175836	mouse	SPTBN1		up
823	824	Gpam	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024978	ENSMUST00000237146|ENSMUST00000235957|ENSMUST00000236859|ENSMUST00000061856|ENSMUST00000236422	NM_001356285|NM_008149|NM_001410454	mouse	GPAM		up
824	825	Smg1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030655	ENSMUST00000208025|ENSMUST00000208209|ENSMUST00000180009|ENSMUST00000179847|ENSMUST00000179047|ENSMUST00000032891|ENSMUST00000178025|ENSMUST00000208930|ENSMUST00000179331|ENSMUST00000207162	NM_001031814	mouse	SMG1		up
825	826	Nr2c2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000005893	ENSMUST00000133321|ENSMUST00000204661|ENSMUST00000204497|ENSMUST00000204349|ENSMUST00000133133|ENSMUST00000113463|ENSMUST00000146175|ENSMUST00000113460	NM_001410481|NM_011630|NM_001410480|NM_001347342|NM_001410479|NM_001410482|NM_001410484|NM_001410478	mouse	NR2C2		up
826	827	Rasal2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000070565	ENSMUST00000134543|ENSMUST00000129880|ENSMUST00000128538|ENSMUST00000143080|ENSMUST00000143358|ENSMUST00000078308|ENSMUST00000132699	NM_001401202|NM_177644	mouse	RASAL2		up
827	828	Adgrl4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039167	ENSMUST00000046977|ENSMUST00000196970|ENSMUST00000141038|ENSMUST00000238194|ENSMUST00000238382|ENSMUST00000198893|ENSMUST00000129283|ENSMUST00000155652|ENSMUST00000238268	NM_133222	mouse	ADGRL4		up
828	829	Cdkl5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031292	ENSMUST00000199927|ENSMUST00000196297|ENSMUST00000198931|ENSMUST00000087104|ENSMUST00000112355|ENSMUST00000197942	NM_001024624	mouse	CDKL5		up
829	830	Gm38684	25	all_sig_genes_35904237	PMID: 35904237	A530020G20Rik	ENSMUST00000180804|ENSMUST00000199889|ENSMUST00000181070		mouse			up
